user_id,signup_date,region,account_type
1,2024-02-21,Asia,Business
2,2024-01-15,North America,Individual
3,2024-03-12,North America,Individual
4,2024-03-01,Europe,Individual
5,2024-01-21,South America,Business
6,2024-03-23,Europe,Business
7,2024-03-27,Asia,Individual
8,2024-03-15,North America,Business
9,2024-03-15,North America,Business
10,2024-03-28,North America,Individual
11,2024-01-24,Asia,Individual
12,2024-01-03,Asia,Individual
13,2024-01-22,Europe,Individual
14,2024-02-22,Europe,Individual
15,2024-01-02,Europe,Individual
16,2024-03-28,South America,Individual
17,2024-01-30,North America,Individual
18,2024-02-07,North America,Individual
19,2024-01-02,Europe,Individual
20,2024-03-04,North America,Business
21,2024-02-29,Europe,Individual
22,2024-01-21,South America,Business
23,2024-02-02,South America,Business
24,2024-03-16,Asia,Individual
25,2024-02-27,South America,Individual
26,2024-01-22,Europe,Individual
27,2024-03-29,South America,Individual
28,2024-02-18,Asia,Business
29,2024-02-28,North America,Individual
30,2024-02-11,Europe,Individual
31,2024-02-29,North America,Individual
32,2024-03-20,Asia,Individual
33,2024-01-15,Asia,Business
34,2024-03-02,Asia,Individual
35,2024-03-02,North America,Individual
36,2024-02-16,North America,Individual
37,2024-03-02,North America,Business
38,2024-02-20,North America,Individual
39,2024-02-24,Asia,Individual
40,2024-03-04,Asia,Business
41,2024-01-03,Europe,Individual
42,2024-02-20,Europe,Business
43,2024-01-07,North America,Business
44,2024-01-21,South America,Business
45,2024-03-13,South America,Business
46,2024-02-08,Asia,Business
47,2024-01-18,Asia,Business
48,2024-01-04,Asia,Business
49,2024-03-29,Europe,Business
50,2024-02-29,Europe,Individual
51,2024-01-14,Asia,Individual
52,2024-01-09,Asia,Individual
53,2024-03-30,Asia,Individual
54,2024-02-22,South America,Individual
55,2024-01-02,Europe,Individual
56,2024-03-24,South America,Individual
57,2024-02-29,South America,Business
58,2024-03-11,Asia,Business
59,2024-02-13,Asia,Individual
60,2024-01-08,North America,Individual
61,2024-02-16,North America,Business
62,2024-02-04,South America,Individual
63,2024-03-18,Europe,Business
64,2024-03-21,Asia,Individual
65,2024-02-05,Asia,Individual
66,2024-02-19,South America,Business
67,2024-01-04,North America,Individual
68,2024-01-02,Europe,Business
69,2024-01-06,North America,Business
70,2024-02-23,North America,Individual
71,2024-01-04,North America,Business
72,2024-02-23,North America,Business
73,2024-03-03,Asia,Individual
74,2024-01-18,Asia,Business
75,2024-03-30,North America,Individual
76,2024-02-13,Europe,Business
77,2024-02-03,South America,Business
78,2024-03-14,Europe,Individual
79,2024-03-02,Europe,Business
80,2024-01-14,Europe,Business
81,2024-02-17,North America,Business
82,2024-01-15,Asia,Business
83,2024-03-12,Europe,Business
84,2024-03-18,North America,Individual
85,2024-03-27,Europe,Business
86,2024-03-02,Europe,Individual
